epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1197.36,0.51232,0.50621,1,1.78173,0.00333272,0.00333272,0.00333272
2,2390.05,0.38395,0.50621,1,2.34675,0.00644607,0.00644607,0.00644607
3,4206.97,0.38899,0.50539,1,1.82641,0.00933943,0.00933943,0.00933943
4,1322.14,0.37637,0.50794,1,2.02415,0.00901,0.00901,0.00901
5,2496.92,0.3393,0.50767,1,2.4387,0.00868,0.00868,0.00868
6,3603.07,0.31465,0.50968,1,2.634,0.00835,0.00835,0.00835
7,4707.53,0.30575,0.50785,1,2.74349,0.00802,0.00802,0.00802
8,5807.48,0.29811,0.50721,1,2.69368,0.00769,0.00769,0.00769
9,6994.18,0.2882,0.50712,1,2.73757,0.00736,0.00736,0.00736
10,8203.86,0.28122,0.50858,1,2.82831,0.00703,0.00703,0.00703
11,9386.27,0.27748,0.50822,1,2.8629,0.0067,0.0067,0.0067
12,10476.6,0.27081,0.50886,1,2.90814,0.00637,0.00637,0.00637
13,11572.1,0.26498,0.51013,1,2.95987,0.00604,0.00604,0.00604
14,12668.7,0.26111,0.50922,1,2.98596,0.00571,0.00571,0.00571
15,13761.7,0.25345,0.50968,1,3.01043,0.00538,0.00538,0.00538
16,14861.3,0.25018,0.51004,1,3.01954,0.00505,0.00505,0.00505
17,15950.2,0.24454,0.50867,1,3.05197,0.00472,0.00472,0.00472
18,17043.3,0.24092,0.50867,1,3.06893,0.00439,0.00439,0.00439
19,18133.3,0.23583,0.50913,1,3.07947,0.00406,0.00406,0.00406
20,19223.2,0.22997,0.50876,1,3.09645,0.00373,0.00373,0.00373
21,20311.7,0.22362,0.50876,1,3.12408,0.0034,0.0034,0.0034
22,21400.9,0.21729,0.50931,1,3.14336,0.00307,0.00307,0.00307
23,22492.6,0.21208,0.50904,1,3.17047,0.00274,0.00274,0.00274
24,23584.2,0.20645,0.50986,1,3.18986,0.00241,0.00241,0.00241
25,24676.4,0.19806,0.50995,1,3.22263,0.00208,0.00208,0.00208
26,25766.9,0.19186,0.50986,1,3.25327,0.00175,0.00175,0.00175
27,26859,0.18435,0.50949,1,3.27537,0.00142,0.00142,0.00142
28,27947.7,0.17582,0.50986,1,3.32226,0.00109,0.00109,0.00109
29,29038,0.16804,0.50977,1,3.36872,0.00076,0.00076,0.00076
30,30132.2,0.15983,0.51059,1,3.41689,0.00043,0.00043,0.00043
